link,category,source
https://vtv.vn/phap-luat/bat-doi-tuong-dang-van-chuyen-2000-vien-ma-tuy-20231210203915247.htm,phap-luat.htm,https://vtv.vn/
https://vtv.vn/phap-luat/khoi-to-4-doi-tuong-mo-tiec-ma-tuy-trong-phong-karaoke-20231213143018217.htm,phap-luat.htm,https://vtv.vn/
https://vtv.vn/phap-luat/khoi-to-4-doi-tuong-mo-tiec-ma-tuy-trong-phong-karaoke-20231213143018217.htm,phap-luat.htm,https://vtv.vn/
https://vtv.vn/phap-luat/ha-tinh-hai-xe-may-gay-tai-nan-chet-nguoi-roi-roi-khoi-hien-truong-20231213143430503.htm,phap-luat.htm,https://vtv.vn/
https://vtv.vn/xa-hoi/thai-binh-sap-mai-nha-dang-thi-cong-khien-nhieu-nguoi-thuong-vong-20231213083314061.htm,phap-luat.htm,https://vtv.vn/
https://vtv.vn/xa-hoi/thai-binh-sap-mai-nha-dang-thi-cong-khien-nhieu-nguoi-thuong-vong-20231213083314061.htm,phap-luat.htm,https://vtv.vn/
https://vtv.vn/phap-luat/tam-giu-hinh-su-doi-tuong-gay-tai-nan-chet-nguoi-roi-bo-tron-20231124044749019.htm,phap-luat.htm,https://vtv.vn/
https://vtv.vn/phap-luat/bat-giu-cac-doi-tuong-buon-ban-phao-trai-phep-tu-nuoc-ngoai-vao-viet-nam-va-lam-gia-phao-cua-bo-quoc-phong-20231213045645091.htm,phap-luat.htm,https://vtv.vn/
https://vtv.vn/phap-luat/gia-lai-bat-qua-tang-nhom-doi-tuong-van-chuyen-gan-nua-tan-phao-lau-20231209155501369.htm,phap-luat.htm,https://vtv.vn/
https://vtv.vn/phap-luat/bat-giu-cac-doi-tuong-buon-ban-phao-trai-phep-tu-nuoc-ngoai-vao-viet-nam-va-lam-gia-phao-cua-bo-quoc-phong-20231213045645091.htm,phap-luat.htm,https://vtv.vn/
https://vtv.vn/phap-luat/tam-giu-hinh-su-doi-tuong-trom-cap-camera-co-7-tien-an-20231213043858968.htm,phap-luat.htm,https://vtv.vn/
https://vtv.vn/phap-luat/canh-bao-phong-ngua-toi-pham-cho-vay-nang-lai-tin-dung-den-20231207105426213.htm,phap-luat.htm,https://vtv.vn/
https://vtv.vn/phap-luat/8-nam-tu-cho-ke-lam-gia-ho-so-mo-the-tin-dung-de-lua-dao-20231213051111943.htm,phap-luat.htm,https://vtv.vn/
https://vtv.vn/phap-luat/8-nam-tu-cho-ke-lam-gia-ho-so-mo-the-tin-dung-de-lua-dao-20231213051111943.htm,phap-luat.htm,https://vtv.vn/
https://vtv.vn/phap-luat/tam-giu-hinh-su-doi-tuong-trom-cap-camera-co-7-tien-an-20231213043858968.htm,phap-luat.htm,https://vtv.vn/
https://vtv.vn/phap-luat/dak-nong-tam-giu-150-truong-hop-xe-mo-to-de-trai-phep-tren-via-he-20231212152840858.htm,phap-luat.htm,https://vtv.vn/
https://vtv.vn/phap-luat/dak-nong-tam-giu-150-truong-hop-xe-mo-to-de-trai-phep-tren-via-he-20231212152840858.htm,phap-luat.htm,https://vtv.vn/
https://vtv.vn/phap-luat/gia-vo-xin-viec-nam-thanh-nien-thuc-hien-trot-lot-6-vu-trom-cuop-20231208174854272.htm,phap-luat.htm,https://vtv.vn/
https://vtv.vn/phap-luat/dak-nong-phat-2-doi-tuong-ve-hanh-vi-huy-hoai-dat-20231212155204436.htm,phap-luat.htm,https://vtv.vn/
https://vtv.vn/phap-luat/dak-nong-phat-2-doi-tuong-ve-hanh-vi-huy-hoai-dat-20231212155204436.htm,phap-luat.htm,https://vtv.vn/
https://vtv.vn/phap-luat/long-an-bat-pho-giam-doc-ngan-hang-tham-o-hon-11-ty-dong-20231212090447867.htm,phap-luat.htm,https://vtv.vn/
https://vtv.vn/phap-luat/tin-dung-den-bua-vay-cong-nhan-20231212193949424.htm,phap-luat.htm,https://vtv.vn/
https://vtv.vn/phap-luat/tin-dung-den-bua-vay-cong-nhan-20231212193949424.htm,phap-luat.htm,https://vtv.vn/
https://vtv.vn/phap-luat/long-an-bat-pho-giam-doc-ngan-hang-tham-o-hon-11-ty-dong-20231212090447867.htm,phap-luat.htm,https://vtv.vn/
https://vtv.vn/phap-luat/long-an-bat-pho-giam-doc-ngan-hang-tham-o-hon-11-ty-dong-20231212090447867.htm,phap-luat.htm,https://vtv.vn/
https://vtv.vn/phap-luat/long-an-bat-pho-giam-doc-ngan-hang-tham-o-hon-11-ty-dong-20231212090447867.htm,phap-luat.htm,https://vtv.vn/
https://vtv.vn/phap-luat/triet-pha-o-nhom-hoat-dong-tin-dung-den-voi-so-tien-giao-dich-gan-8-ty-dong-20231203051118611.htm,phap-luat.htm,https://vtv.vn/
https://vtv.vn/phap-luat/trom-hon-23-tan-mu-cao-su-pho-giam-doc-nong-truong-bi-khoi-to-20231212100753926.htm,phap-luat.htm,https://vtv.vn/
https://vtv.vn/phap-luat/trom-hon-23-tan-mu-cao-su-pho-giam-doc-nong-truong-bi-khoi-to-20231212100753926.htm,phap-luat.htm,https://vtv.vn/
https://vtv.vn/phap-luat/kien-giang-tham-o-hon-15-ty-dong-nu-thu-quy-bi-bat-giam-20231115141649445.htm,phap-luat.htm,https://vtv.vn/
https://vtv.vn/phap-luat/co-gai-lai-o-to-140-km-h-trong-khu-dan-cu-bi-tuoc-bang-lai-3-thang-20231212083332352.htm,phap-luat.htm,https://vtv.vn/
https://vtv.vn/phap-luat/co-gai-lai-o-to-140-km-h-trong-khu-dan-cu-bi-tuoc-bang-lai-3-thang-20231212083332352.htm,phap-luat.htm,https://vtv.vn/
https://vtv.vn/phap-luat/khoi-to-tong-giam-doc-cong-ty-co-phan-cao-su-son-la-20231115043730569.htm,phap-luat.htm,https://vtv.vn/
https://vtv.vn/phap-luat/tong-giam-doc-lanh-13-nam-tu-vi-lua-ban-dat-2023121210424677.htm,phap-luat.htm,https://vtv.vn/
https://vtv.vn/phap-luat/tong-giam-doc-lanh-13-nam-tu-vi-lua-ban-dat-2023121210424677.htm,phap-luat.htm,https://vtv.vn/
https://vtv.vn/phap-luat/tp-ho-chi-minh-xac-minh-co-gai-lai-o-to-140km-h-trong-khu-dan-cu-20231211170522533.htm,phap-luat.htm,https://vtv.vn/
https://vtv.vn/phap-luat/triet-xoa-nhom-cho-vay-lai-nang-den-300-nam-o-binh-duong-20231212103158646.htm,phap-luat.htm,https://vtv.vn/
https://vtv.vn/phap-luat/triet-xoa-nhom-cho-vay-lai-nang-den-300-nam-o-binh-duong-20231212103158646.htm,phap-luat.htm,https://vtv.vn/
