link,category,source
https://www.dkn.tv/the-gioi/an-do-va-viet-nam-tham-gia-tap-tran-chung-vinbax-2023.html,cat/the-gioi,DKN
https://www.dkn.tv/doi-song/khoa-hoc-phat-hien-5-loi-ich-to-lon-khi-bo-thuong-xuyen-choi-cung-con.html,cat/doi-song,DKN
https://www.dkn.tv/ve-dep-chan-thien-nhan/20-nam-tim-tap-khi-cong-cuoi-cung-gap-duoc-chinh-dao.html,cat/ve-dep-chan-thien-nhan,DKN
https://www.dkn.tv/thoi-su/tang-tran-gia-ve-may-bay-noi-dia.html,cat/the-gioi,DKN
https://www.dkn.tv/the-gioi/uoc-mo-cua-ong-tap-can-binh-co-thanh-hien-thuc-2-video-tiet-lo-moi-quan-he-thuc-su-viet-nam-trung-quoc.html,cat/ve-dep-chan-thien-nhan,DKN
https://www.dkn.tv/thoi-su/tang-tran-gia-ve-may-bay-noi-dia.html,cat/the-gioi,DKN
https://www.dkn.tv/ve-dep-chan-thien-nhan/giam-doc-cong-ty-banh-keo-chi-can-tu-tam-con-duong-tu-mo-loi.html,cat/ve-dep-chan-thien-nhan,DKN
https://www.dkn.tv/ve-dep-chan-thien-nhan/hat-giong-vang-ky-cuoi-danh-lam-thang-canh-dai-loan-lap-lanh-anh-sao-danh-thuc-trai-tim-du-khach-trung-quoc.html,cat/ve-dep-chan-thien-nhan,DKN
https://www.dkn.tv/the-gioi/uoc-mo-cua-ong-tap-can-binh-co-thanh-hien-thuc-2-video-tiet-lo-moi-quan-he-thuc-su-viet-nam-trung-quoc.html,cat/the-gioi,DKN
https://www.dkn.tv/van-hoa/doc-gia-phuong-tay-chung-ta-deu-la-nhung-dua-con-dang-yeu-cua-sang-the-chu.html,cat/ve-dep-chan-thien-nhan,DKN
https://www.dkn.tv/doi-song/biet-con-mac-benh-tim-hai-ba-me-tu-choi-pha-thai-va-gio-con-trai-ho-da-la-ban-cung-phong-dai-hoc.html,cat/doi-song,DKN
https://www.dkn.tv/ve-dep-chan-thien-nhan/hat-giong-vang-ky-cuoi-danh-lam-thang-canh-dai-loan-lap-lanh-anh-sao-danh-thuc-trai-tim-du-khach-trung-quoc.html,cat/ve-dep-chan-thien-nhan,DKN
https://www.dkn.tv/the-gioi/uoc-mo-cua-ong-tap-can-binh-co-thanh-hien-thuc-2-video-tiet-lo-moi-quan-he-thuc-su-viet-nam-trung-quoc.html,cat/the-gioi,DKN
